v_cmd,omega,t,torque
5.894117647058823,5.890495956989756,0.5038873750017956,0.002402814570814371
5.894117647058823,5.890495956989756,0.5162557089934126,0.004879210609942675
5.894117647058823,5.890495956989756,0.5295687089674175,0.00523141585290432
5.894117647058823,5.890495956989756,0.5427245839964598,0.0017432302702218294
5.894117647058823,5.890495956989756,0.5564471670077182,0.00672387657687068
5.894117647058823,5.890495956989756,0.5700089170131832,0.0064461142756044865
5.894117647058823,5.890495956989756,0.5836608340032399,0.005219738930463791
5.894117647058823,5.890495956989756,0.5966831250116229,0.009104294702410698
5.894117647058823,5.890495956989756,0.6092605000012554,0.010981423780322075
5.894117647058823,5.890495956989756,0.6217779589933343,0.003201177343726158
5.894117647058823,5.890495956989756,0.634059083997272,0.001750448951497674
5.894117647058823,5.890495956989756,0.6462350420188159,0.0020169727504253387
5.894117647058823,5.890495956989756,0.6585552499745972,0.002949934219941497
5.894117647058823,5.890495956989756,0.6715538749704137,0.002215759828686714
5.894117647058823,5.890495956989756,0.6852276250137947,0.006842315662652254
5.894117647058823,5.890495956989756,0.6982376669766381,0.0052507552318274975
5.894117647058823,5.890495956989756,0.7112292089732364,0.002066469518467784
5.894117647058823,5.890495956989756,0.7248982500168495,0.006748020648956299
5.894117647058823,5.890495956989756,0.7381961669889279,0.007291825488209724
5.894117647058823,5.890495956989756,0.7519366249907762,0.007893390022218227
5.894117647058823,5.890495956989756,0.7642018339829519,0.01205656211823225
5.894117647058823,5.890495956989756,0.7779190000146627,0.008644896559417248
5.894117647058823,5.890495956989756,0.7908017089939676,0.004632552620023489
5.894117647058823,5.890495956989756,0.8121659589814954,0.002101099817082286
5.894117647058823,5.890495956989756,0.8247173340059817,0.0008157549309544265
5.894117647058823,5.890495956989756,0.8376786669832654,0.0007897793548181653
5.894117647058823,5.890495956989756,0.8501476669916883,0.003014429472386837
5.894117647058823,5.890495956989756,0.8639856670051813,0.006751019041985273
5.894117647058823,5.890495956989756,0.87692083400907,0.00728314183652401
5.894117647058823,5.890495956989756,0.8899260420002975,0.007850412279367447
5.894117647058823,5.890495956989756,0.9030054169707,0.008069979026913643
5.894117647058823,5.890495956989756,0.916307459003292,0.009453734382987022
5.894117647058823,5.890495956989756,0.9296498749754392,0.008375946432352066
5.894117647058823,5.890495956989756,0.9420922090066597,0.008302532136440277
5.894117647058823,5.890495956989756,0.9559275839710608,0.008269038051366806
5.894117647058823,5.890495956989756,0.9689321250189096,0.006220836192369461
5.894117647058823,5.890495956989756,0.9821211249800399,0.002578010084107518
5.894117647058823,5.890495956989756,0.9945614589960314,0.002094420837238431
5.894117647058823,5.890495956989756,1.0085169170051813,0.0020825753454118967
5.894117647058823,5.890495956989756,1.0214060000143945,0.0024450235068798065
5.894117647058823,5.890495956989756,1.0346029999782331,0.007712360471487045
5.894117647058823,5.890495956989756,1.0476586669683456,0.006460912991315126
5.894117647058823,5.890495956989756,1.0610747499740683,0.01057508960366249
5.894117647058823,5.890495956989756,1.0748165840050206,0.013484385795891285
5.894117647058823,5.890495956989756,1.087493208993692,0.011543426662683487
5.894117647058823,5.890495956989756,1.1006330419913866,0.009493013843894005
5.894117647058823,5.890495956989756,1.11395516700577,0.0070504737086594105
5.894117647058823,5.890495956989756,1.1270193749805912,0.00447177654132247
5.894117647058823,5.890495956989756,1.1402800839859992,0.0017895906930789351
5.894117647058823,5.890495956989756,1.152969375019893,0.0049603101797401905
5.894117647058823,5.890495956989756,1.1657849170151167,0.0019295908277854323
5.894117647058823,5.890495956989756,1.1784841250046156,0.0011556181125342846
5.894117647058823,5.890495956989756,1.1921423340099864,0.003450150368735194
5.894117647058823,5.890495956989756,1.2051016250043176,0.005645820405334234
5.894117647058823,5.890495956989756,1.2176357500138693,0.0018501905724406242
5.894117647058823,5.890495956989756,1.230823624995537,0.007176064886152744
5.894117647058823,5.890495956989756,1.2458255420206115,0.009055848233401775
5.894117647058823,5.890495956989756,1.2585057499818504,0.008298168890178204
5.894117647058823,5.890495956989756,1.272101541981101,0.011563373729586601
5.894117647058823,5.890495956989756,1.2847627089940943,0.00909226480871439
5.894117647058823,5.890495956989756,1.2980202090111561,0.003521353006362915
5.894117647058823,5.890495956989756,1.3113056250149384,0.004364489112049341
5.894117647058823,5.890495956989756,1.327016666997224,0.005048185121268034
5.894117647058823,5.890495956989756,1.3402019999921322,-0.00027433072682470083
5.894117647058823,5.890495956989756,1.3537669170182198,0.0006816109525971115
5.894117647058823,5.890495956989756,1.3668164170230739,0.0019251437624916434
5.894117647058823,5.890495956989756,1.3792104590102099,0.00155506597366184
5.894117647058823,5.890495956989756,1.3933534999960102,0.0024929940700531006
