# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6920
# period  = 20833.339 us/tick
# bpm     = 120.000
# sigma_t = 204.627 us
# k,timestamp_us,residual_us
1049,40759095,-69.6
1050,40779976,-21.9
1051,40800839,7.7
1052,40821628,-36.6
1053,40842491,-7.0
1054,40863299,-32.3
1055,40884115,-49.6
1056,40904987,-11.0
1057,40925787,-44.3
1058,40946582,-82.7
1059,40967518,20.0
1060,40988316,-15.3
1061,41009148,-16.7
1062,41029968,-30.0
1063,41050852,20.7
1064,41071631,-33.7
1065,41092474,-24.0
1066,41113305,-26.4
1067,41134170,5.3
1068,41154962,-36.0
1069,41175823,-8.4
1070,41196663,-1.7
1071,41217458,-40.1
1072,41238311,-20.4
1073,41259128,-36.7
1074,41279919,-79.1
1075,41300797,-34.4
1076,41321621,-43.7
1077,41342430,-68.1
1078,41363296,-35.4
1079,41384142,-22.8
1080,41404947,-51.1
1081,41425806,-25.4
1082,41446633,-31.8
1083,41467494,-4.1
1084,41488297,-34.5
1085,41509141,-23.8
1086,41529980,-18.1
1087,41550834,2.5
1088,41571655,-9.8
1089,41592468,-30.1
1090,41613293,-38.5
1091,41634178,13.2
1092,41654964,-34.2
1093,41675827,-4.5
1094,41696677,12.2
1095,41717472,-26.2
1096,41738305,-26.5
1097,41759150,-14.9
1098,41779950,-48.2
1099,41800832,0.5
1100,41821630,-34.9
1101,41842491,-7.2
1102,41863299,-32.6
1103,41884127,-37.9
1104,41904966,-32.2
1105,41925802,-29.6
1106,41946645,-19.9
1107,41967492,-6.2
1108,41988300,-31.6
1109,42009137,-27.9
1110,42029987,-11.3
1111,42050820,-11.6
1112,42071658,-6.9
1113,42092447,-51.3
1114,42113285,-46.6
1115,42134174,9.0
1116,42154935,-63.3
1117,42175744,-87.6
1118,42196637,-28.0
1119,42217425,-73.3
1120,42238296,-35.6
1121,42259130,-35.0
1122,42279957,-41.3
1123,42300814,-17.7
1124,42321631,-34.0
1125,42342467,-31.3
1126,42363351,19.3
1127,42384187,22.0
1128,42404959,-39.4
1129,42425815,-16.7
1130,42446639,-26.0
1131,42467519,20.6
1132,42488287,-44.7
1133,42509179,14.0
1134,42530004,5.6
1135,42550831,-0.7
1136,42571650,-15.1
1137,42592474,-24.4
1138,42613314,-17.7
1139,42634181,15.9
1140,42654976,-22.4
1141,42675808,-23.8
1142,42696661,-4.1
1143,42717475,-23.4
1144,42738311,-20.8
1145,42759104,-61.1
1146,42779960,-38.4
1147,42800849,17.2
1148,42821672,6.9
1149,42842581,82.5
1150,42863385,53.2
1151,42884289,123.9
1152,42905046,47.5
1153,42925856,24.2
1154,42946625,-40.2
1155,42967524,25.5
1156,42988300,-31.8
1157,43009159,-6.2
1158,43030010,11.5
1159,43050813,-18.8
1160,43071647,-18.2
1161,43092442,-56.5
1162,43113301,-30.9
1163,43134148,-17.2
1164,43154971,-27.5
1165,43175803,-28.9
1166,43196659,-6.2
1167,43217483,-15.6
1168,43238323,-8.9
1169,43259097,-68.2
1170,43279926,-72.6
1171,43300827,-4.9
1172,43321659,-6.2
1173,43342460,-38.6
1174,43363324,-7.9
1175,43384156,-9.3
1176,43405004,5.4
1177,43425841,9.1
1178,43446633,-32.3
1179,43467458,-40.6
1180,43488292,-40.0
1181,43509171,5.7
1182,43529980,-18.6
1183,43550845,13.0
1184,43571623,-42.3
1185,43592439,-59.6
1186,43613320,-12.0
1187,43634119,-46.3
1188,43655001,2.3
1189,43675816,-16.0
1190,43696656,-9.3
1191,43717496,-2.7
1192,43738320,-12.0
1193,43759129,-36.4
1194,43779976,-22.7
1195,43800803,-29.0
1196,43821593,-72.4
1197,43842446,-52.7
1198,43863294,-38.0
1199,43884137,-28.4
1200,43904996,-2.7
1201,43925844,11.9
1202,43946663,-2.4
1203,43967487,-11.7
1204,43988295,-37.1
1205,44009150,-15.4
1206,44030005,6.2
1207,44050804,-28.1
1208,44071621,-44.4
1209,44092480,-18.8
1210,44113313,-19.1
1211,44134181,15.6
1212,44154938,-60.8
